lat,lon,fecha_actual,mes_pronostico,valor,variable
-36.0,-64.0,2025-12-01,4,76.76,precipitacion_acumulada
-36.0,-64.0,2025-12-01,5,68.09,precipitacion_acumulada
-36.0,-64.0,2025-12-01,6,39.45,precipitacion_acumulada
-36.0,-63.0,2025-12-01,1,70.23,precipitacion_acumulada
-36.0,-63.0,2025-12-01,2,75.89,precipitacion_acumulada
-36.0,-63.0,2025-12-01,3,91.96,precipitacion_acumulada
-36.0,-63.0,2025-12-01,4,82.25,precipitacion_acumulada
-36.0,-63.0,2025-12-01,5,75.27,precipitacion_acumulada
-36.0,-63.0,2025-12-01,6,46.23,precipitacion_acumulada
-36.0,-62.0,2025-12-01,1,76.67,precipitacion_acumulada
-36.0,-62.0,2025-12-01,2,78.59,precipitacion_acumulada
-36.0,-62.0,2025-12-01,3,100.89,precipitacion_acumulada
-36.0,-62.0,2025-12-01,4,88.42,precipitacion_acumulada
-36.0,-62.0,2025-12-01,5,78.88,precipitacion_acumulada
-36.0,-62.0,2025-12-01,6,53.15,precipitacion_acumulada
-36.0,-61.0,2025-12-01,1,83.01,precipitacion_acumulada
-36.0,-61.0,2025-12-01,2,81.87,precipitacion_acumulada
-36.0,-61.0,2025-12-01,3,104.89,precipitacion_acumulada
-36.0,-61.0,2025-12-01,4,91.92,precipitacion_acumulada
-36.0,-61.0,2025-12-01,5,85.07,precipitacion_acumulada
-36.0,-61.0,2025-12-01,6,59.96,precipitacion_acumulada
-36.0,-60.0,2025-12-01,1,85.94,precipitacion_acumulada
-36.0,-60.0,2025-12-01,2,80.93,precipitacion_acumulada
-36.0,-60.0,2025-12-01,3,105.69,precipitacion_acumulada
-36.0,-60.0,2025-12-01,4,90.54,precipitacion_acumulada
-36.0,-60.0,2025-12-01,5,88.96,precipitacion_acumulada
-36.0,-60.0,2025-12-01,6,67.75,precipitacion_acumulada
-36.0,-59.0,2025-12-01,1,89.73,precipitacion_acumulada
-36.0,-59.0,2025-12-01,2,78.94,precipitacion_acumulada
-36.0,-59.0,2025-12-01,3,105.53,precipitacion_acumulada
-36.0,-59.0,2025-12-01,4,88.07,precipitacion_acumulada
-36.0,-59.0,2025-12-01,5,89.95,precipitacion_acumulada
-36.0,-59.0,2025-12-01,6,69.81,precipitacion_acumulada
-36.0,-58.0,2025-12-01,1,93.62,precipitacion_acumulada
-36.0,-58.0,2025-12-01,2,76.68,precipitacion_acumulada
-36.0,-58.0,2025-12-01,3,99.28,precipitacion_acumulada
-36.0,-58.0,2025-12-01,4,86.95,precipitacion_acumulada
-36.0,-58.0,2025-12-01,5,89.34,precipitacion_acumulada
-36.0,-58.0,2025-12-01,6,72.2,precipitacion_acumulada
-36.0,-57.0,2025-12-01,1,94.98,precipitacion_acumulada
-36.0,-57.0,2025-12-01,2,72.75,precipitacion_acumulada
-36.0,-57.0,2025-12-01,3,92.74,precipitacion_acumulada
-36.0,-57.0,2025-12-01,4,89.27,precipitacion_acumulada
-36.0,-57.0,2025-12-01,5,88.71,precipitacion_acumulada
-36.0,-57.0,2025-12-01,6,77.46,precipitacion_acumulada
-36.0,-56.0,2025-12-01,1,88.16,precipitacion_acumulada
-36.0,-56.0,2025-12-01,2,67.56,precipitacion_acumulada
-36.0,-56.0,2025-12-01,3,85.26,precipitacion_acumulada
-36.0,-56.0,2025-12-01,4,87.39,precipitacion_acumulada
-36.0,-56.0,2025-12-01,5,91.91,precipitacion_acumulada
-36.0,-56.0,2025-12-01,6,81.95,precipitacion_acumulada
-35.0,-65.0,2025-12-01,1,78.04,precipitacion_acumulada
-35.0,-65.0,2025-12-01,2,67.98,precipitacion_acumulada
-35.0,-65.0,2025-12-01,3,84.23,precipitacion_acumulada
-35.0,-65.0,2025-12-01,4,74.97,precipitacion_acumulada
-35.0,-65.0,2025-12-01,5,64.1,precipitacion_acumulada
-35.0,-65.0,2025-12-01,6,40.19,precipitacion_acumulada
-35.0,-64.0,2025-12-01,1,79.57,precipitacion_acumulada
-35.0,-64.0,2025-12-01,2,74.89,precipitacion_acumulada
-35.0,-64.0,2025-12-01,3,91.47,precipitacion_acumulada
-35.0,-64.0,2025-12-01,4,80.5,precipitacion_acumulada
-35.0,-64.0,2025-12-01,5,72.3,precipitacion_acumulada
-35.0,-64.0,2025-12-01,6,42.22,precipitacion_acumulada
-35.0,-63.0,2025-12-01,1,81.64,precipitacion_acumulada
-35.0,-63.0,2025-12-01,2,84.99,precipitacion_acumulada
-35.0,-63.0,2025-12-01,3,101.88,precipitacion_acumulada
-35.0,-63.0,2025-12-01,4,89.44,precipitacion_acumulada
-35.0,-63.0,2025-12-01,5,79.48,precipitacion_acumulada
-35.0,-63.0,2025-12-01,6,49.34,precipitacion_acumulada
-35.0,-62.0,2025-12-01,1,88.12,precipitacion_acumulada
-35.0,-62.0,2025-12-01,2,87.73,precipitacion_acumulada
-35.0,-62.0,2025-12-01,3,110.92,precipitacion_acumulada
-35.0,-62.0,2025-12-01,4,95.66,precipitacion_acumulada
-35.0,-62.0,2025-12-01,5,83.15,precipitacion_acumulada
-35.0,-62.0,2025-12-01,6,56.36,precipitacion_acumulada
-35.0,-61.0,2025-12-01,1,90.47,precipitacion_acumulada
-35.0,-61.0,2025-12-01,2,84.81,precipitacion_acumulada
-35.0,-61.0,2025-12-01,3,114.1,precipitacion_acumulada
-35.0,-61.0,2025-12-01,4,97.8,precipitacion_acumulada
-35.0,-61.0,2025-12-01,5,90.9,precipitacion_acumulada
-35.0,-61.0,2025-12-01,6,65.13,precipitacion_acumulada
-35.0,-60.0,2025-12-01,1,93.42,precipitacion_acumulada
-35.0,-60.0,2025-12-01,2,83.84,precipitacion_acumulada
-35.0,-60.0,2025-12-01,3,114.88,precipitacion_acumulada
-35.0,-60.0,2025-12-01,4,96.42,precipitacion_acumulada
-35.0,-60.0,2025-12-01,5,94.84,precipitacion_acumulada
-35.0,-60.0,2025-12-01,6,73.02,precipitacion_acumulada
-35.0,-59.0,2025-12-01,1,91.05,precipitacion_acumulada
-35.0,-59.0,2025-12-01,2,82.2,precipitacion_acumulada
-35.0,-59.0,2025-12-01,3,105.07,precipitacion_acumulada
-35.0,-59.0,2025-12-01,4,95.79,precipitacion_acumulada
-35.0,-59.0,2025-12-01,5,96.66,precipitacion_acumulada
-35.0,-59.0,2025-12-01,6,80.67,precipitacion_acumulada
-35.0,-58.0,2025-12-01,1,94.91,precipitacion_acumulada
-35.0,-58.0,2025-12-01,2,79.91,precipitacion_acumulada
-35.0,-58.0,2025-12-01,3,98.73,precipitacion_acumulada
-35.0,-58.0,2025-12-01,4,94.65,precipitacion_acumulada
-35.0,-58.0,2025-12-01,5,96.06,precipitacion_acumulada
-35.0,-58.0,2025-12-01,6,83.11,precipitacion_acumulada
-35.0,-57.0,2025-12-01,1,94.26,precipitacion_acumulada
-35.0,-57.0,2025-12-01,2,81.29,precipitacion_acumulada
-35.0,-57.0,2025-12-01,3,98.82,precipitacion_acumulada
-35.0,-57.0,2025-12-01,4,97.71,precipitacion_acumulada
-35.0,-57.0,2025-12-01,5,98.61,precipitacion_acumulada
-35.0,-57.0,2025-12-01,6,86.0,precipitacion_acumulada
-35.0,-56.0,2025-12-01,1,87.44,precipitacion_acumulada
-35.0,-56.0,2025-12-01,2,76.11,precipitacion_acumulada
-35.0,-56.0,2025-12-01,3,91.33,precipitacion_acumulada
-35.0,-56.0,2025-12-01,4,95.84,precipitacion_acumulada
-35.0,-56.0,2025-12-01,5,101.83,precipitacion_acumulada
-35.0,-56.0,2025-12-01,6,90.52,precipitacion_acumulada
-34.0,-65.0,2025-12-01,1,104.83,precipitacion_acumulada
-34.0,-65.0,2025-12-01,2,82.96,precipitacion_acumulada
-34.0,-65.0,2025-12-01,3,100.34,precipitacion_acumulada
-34.0,-65.0,2025-12-01,4,80.12,precipitacion_acumulada
-34.0,-65.0,2025-12-01,5,65.93,precipitacion_acumulada
-34.0,-65.0,2025-12-01,6,40.36,precipitacion_acumulada
-34.0,-64.0,2025-12-01,1,95.58,precipitacion_acumulada
-34.0,-64.0,2025-12-01,2,80.97,precipitacion_acumulada
-34.0,-64.0,2025-12-01,3,102.54,precipitacion_acumulada
-34.0,-64.0,2025-12-01,4,84.4,precipitacion_acumulada
-34.0,-64.0,2025-12-01,5,72.76,precipitacion_acumulada
-34.0,-64.0,2025-12-01,6,43.77,precipitacion_acumulada
-34.0,-63.0,2025-12-01,1,97.64,precipitacion_acumulada
-34.0,-63.0,2025-12-01,2,91.1,precipitacion_acumulada
-34.0,-63.0,2025-12-01,3,113.01,precipitacion_acumulada
-34.0,-63.0,2025-12-01,4,93.42,precipitacion_acumulada
-34.0,-63.0,2025-12-01,5,80.02,precipitacion_acumulada
